Mach,Reynolds,Alpha,CL,CD,CM,L_D
0.15,2000000.0,-4.25,-0.43,0.0073,-0.004,-58.9
0.15,2000000.0,-2.1,-0.215,0.0062,-0.002,-34.68
0.15,2000000.0,0.0,0.0,0.0062,0.0,0.0
0.15,2000000.0,4.25,0.445,0.0067,0.004,66.42
0.15,3940000.0,6.0,0.636,0.00712,0.0019,89.33
0.15,5970000.0,10.18,1.088,0.0105,0.007,103.62
0.15,8860000.0,12.22,1.305,0.0115,0.009,113.48
0.15,11900000.0,13.25,1.3963,0.01293,0.0096,107.95
0.15,18900000.0,16.17,1.6169,0.02175,0.0215,74.35
0.2,2660000.0,-4.11,-0.4265,0.00729,-0.0034,-58.53
0.2,2660000.0,4.27,0.4457,0.00663,0.0033,67.25
0.2,3990000.0,8.07,0.8553,0.00963,0.006,88.8
0.2,5950000.0,10.18,1.0843,0.01044,0.0053,103.85
0.2,8930000.0,13.33,1.4162,0.01359,0.0116,104.22
0.2,11950000.0,15.21,1.5713,0.01886,0.0185,83.33
0.25,3290000.0,-4.0,-0.4258,0.00736,-0.0028,-57.88
0.25,3290000.0,6.09,0.6491,0.00738,0.0044,87.91
0.25,3980000.0,10.36,1.1089,0.01229,0.0091,90.22
0.25,5950000.0,14.34,1.4835,0.01784,0.0204,83.16
0.25,8920000.0,12.15,1.3285,0.01218,0.0109,109.03
0.25,11950000.0,15.26,1.5807,0.02065,0.0234,76.54
0.3,3900000.0,-4.11,-0.4479,0.00727,-0.0026,-61.6
0.3,3900000.0,8.06,0.8821,0.0103,0.0074,85.62
0.3,5930000.0,10.12,1.1251,0.012,0.0094,93.78
0.3,8960000.0,12.01,1.3442,0.01336,0.0147,100.58
0.3,11900000.0,13.2,1.45,0.0178,0.024,81.46
0.36,3930000.0,-3.97,-0.4467,0.00727,-0.0026,-61.48
0.36,3930000.0,10.15,1.126,0.01415,0.0163,79.6
0.36,5880000.0,8.12,0.9171,0.00865,0.007,105.98
0.36,8900000.0,10.81,1.2265,0.01785,0.0233,68.71
